Email,Time_Out,Password,FK_Id_Person,Flag,Data_Sesion
SANDRA_JANNETHRIAÑO1@gmail.com,2019-10-02 07:25:34.252,20003ASQ,19,I,2019-10-19 04:25:34.252
LIGIAAGUDELO1@gmail.com,2019-10-02 07:25:34.253,20667ASQ,20,I,2019-10-20 04:25:34.253
NATALIA_MILENAZAPATA1@gmail.com,2019-10-02 07:25:34.254,22130ASQ,21,I,2019-10-21 04:25:34.254
LUZ_CARIDADZAPATA1@gmail.com,2019-10-02 07:25:34.255,22905ASQ,22,I,2019-10-22 04:25:34.255
AURA_ESTHERRUDAS1@gmail.com,2019-10-02 07:25:34.256,22928ASQ,23,I,2019-10-23 04:25:34.256
MONICA_JANETHYEPES1@gmail.com,2019-10-02 07:25:34.257,22938ASQ,24,I,2019-10-24 04:25:34.257
PAULA_ANDREAESTRADA1@gmail.com,2019-10-02 07:25:34.258,22947ASQ,25,I,2019-10-25 04:25:34.258
NORMA_LUCIABUSTAMANTE1@gmail.com,2019-10-02 07:25:34.259,22966ASQ,26,I,2019-10-26 04:25:34.259
EDSON_ALFONSOCASTAÑEDA1@gmail.com,2019-10-02 07:25:34.260,23033ASQ,27,I,2019-10-27 04:25:34.260
BEATRIZ_ELENAVELASQUEZ1@gmail.com,2019-10-02 07:25:34.261,23071ASQ,28,I,2019-10-28 04:25:34.261
PAULA_ANDREAZULUAGA1@gmail.com,2019-10-02 07:25:34.262,23489ASQ,29,I,2019-10-29 04:25:34.262
CATALINACADAVID1@gmail.com,2019-10-02 07:25:34.263,23499ASQ,30,I,2019-10-30 04:25:34.263
ROBERTO_ANTONIOCADAVID1@gmail.com,2019-10-02 07:25:34.264,23501ASQ,31,I,2019-10-31 04:25:34.264
NURY_MARCELARAMIREZ1@gmail.com,2019-10-02 07:25:34.265,23547ASQ,32,I,2019-09-01 04:25:34.265
MAURICIOROJAS1@gmail.com,2019-10-02 07:25:34.266,24373ASQ,33,I,2019-09-02 04:25:34.266
SERGIO_ALBERTOPIEDRAHITA1@gmail.com,2019-10-02 07:25:34.267,24395ASQ,34,I,2019-09-03 04:25:34.267
SergioPiedrahita1@gmail.com,2019-10-02 07:25:34.268,24395ASQ,35,I,2019-09-04 04:25:34.268
BAIRON_DEAGUDELO1@gmail.com,2019-10-02 07:25:34.269,24401ASQ,36,I,2019-09-05 04:25:34.269
MARCO_ANTONIORODRIGUEZ1@gmail.com,2019-10-02 07:25:34.270,25105ASQ,37,I,2019-09-06 04:25:34.270
DIANA_PATRICIASILGADO1@gmail.com,2019-10-02 07:25:34.271,25241ASQ,38,I,2019-09-07 04:25:34.271
KATHERINE_JULIETHSOLANO1@gmail.com,2019-10-02 07:25:34.272,25265ASQ,39,I,2019-09-08 04:25:34.272
LUZ_ANEIDERVILLEGAS1@gmail.com,2019-10-02 07:25:34.273,26110ASQ,40,I,2019-09-09 04:25:34.273
JUAN_CARLOSSEPULVEDA1@gmail.com,2019-10-02 07:25:34.274,26168ASQ,41,I,2019-09-10 04:25:34.274
JuanSepulveda1@gmail.com,2019-10-02 07:25:34.275,26168ASQ,42,I,2019-09-11 04:25:34.275
FRANCY_ELENALOAIZA1@gmail.com,2019-10-02 07:25:34.276,26286ASQ,43,I,2019-09-12 04:25:34.276
FrancyLoaiza1@gmail.com,2019-10-02 07:25:34.277,26286ASQ,44,I,2019-09-13 04:25:34.277
MONICA_MARIATAMAYO1@gmail.com,2019-10-02 07:25:34.278,26290ASQ,45,I,2019-09-14 04:25:34.278
MonicaTamayo1@gmail.com,2019-10-02 07:25:34.279,26290ASQ,46,I,2019-09-15 04:25:34.279
SANDRA_MILENACORTES1@gmail.com,2019-10-02 07:25:34.280,26928ASQ,47,I,2019-09-16 04:25:34.280
JULY_MARCELAGAMBA1@gmail.com,2019-10-02 07:25:34.281,26955ASQ,48,I,2019-09-17 04:25:34.281
ELIZABETHHERRERA1@gmail.com,2019-10-02 07:25:34.282,27419ASQ,49,I,2019-09-18 04:25:34.282
MARYSOLJIMENEZ1@gmail.com,2019-10-02 07:25:34.283,27607ASQ,50,I,2019-09-19 04:25:34.283
MARYSOLJIMENEZ1@gmail.com,2019-10-02 07:25:34.284,27607ASQ,51,I,2019-09-20 04:25:34.284
LILIANAGIL1@gmail.com,2019-10-02 07:25:34.285,27665ASQ,52,I,2019-09-21 04:25:34.285
LIZETH_TATIANACORREA1@gmail.com,2019-10-02 07:25:34.286,27673ASQ,53,I,2019-09-22 04:25:34.286
JANETH_ASTRIDCASTRO1@gmail.com,2019-10-02 07:25:34.287,27798ASQ,54,I,2019-09-23 04:25:34.287
VANESSAGONZALEZ1@gmail.com,2019-10-02 07:25:34.288,27870ASQ,55,I,2019-09-24 04:25:34.288
FRANCYS_LILIANAQUINTERO1@gmail.com,2019-10-02 07:25:34.289,27879ASQ,56,I,2019-09-25 04:25:34.289
LUISA_FERNANDAGARCIA1@gmail.com,2019-10-02 07:25:34.290,27887ASQ,57,I,2019-09-26 04:25:34.290
MARIA_ANGELICADIAZ1@gmail.com,2019-10-02 07:25:34.291,27974ASQ,58,I,2019-09-27 04:25:34.291
HECTOR_ALONSOBELTRAN1@gmail.com,2019-10-02 07:25:34.292,27979ASQ,59,I,2019-09-28 04:25:34.292
LUZ_ESTELALOPEZ1@gmail.com,2019-10-02 07:25:34.293,28031ASQ,60,I,2019-09-29 04:25:34.293
ALEXANDRA_MILENAROLON1@gmail.com,2019-10-02 07:25:34.294,28054ASQ,61,I,2019-09-30 04:25:34.294
DIANA_CAROLINAMANRIQUE1@gmail.com,2019-10-02 07:25:34.295,28055ASQ,62,I,2019-09-30 04:25:34.295
ELIZABETH_CRISTINAMUÑOZ1@gmail.com,2019-10-02 07:25:34.296,28184ASQ,63,I,2019-11-01  04:25:34.296
LILIANA_SOFIANOREÑA1@gmail.com,2019-10-02 07:25:34.297,28417ASQ,64,I,2019-11-02 04:25:34.297
DIANA_MERCEDESLOZANO1@gmail.com,2019-10-02 07:25:34.298,28596ASQ,65,I,2019-11-03 04:25:34.298
DianaLozano1@gmail.com,2019-10-02 07:25:34.299,28596ASQ,66,I,2019-11-04 04:25:34.299
JORGE_ANDRESVIVARES1@gmail.com,2019-10-02 07:25:34.300,28656ASQ,67,I,2019-11-05 04:25:34.300
JorgeVivares1@gmail.com,2019-10-02 07:25:34.301,28656ASQ,68,I,2019-11-06 04:25:34.301
JULIETAGORDON1@gmail.com,2019-10-02 07:25:34.302,28700ASQ,69,I,2019-11-07 04:25:34.302
JulietaGordon1@gmail.com,2019-10-02 07:25:34.303,28700ASQ,70,I,2019-11-08 04:25:34.303
YENY_PATRICIABOLAÑOS1@gmail.com,2019-10-02 07:25:34.304,28774ASQ,71,I,2019-11-09 04:25:34.304
YenyBola?os1@gmail.com,2019-10-02 07:25:34.305,28774ASQ,72,I,2019-11-10 04:25:34.305
LUIS_FERNANDOVILLA1@gmail.com,2019-10-02 07:25:34.306,34133ASQ,73,I,2019-11-11 04:25:34.306
LuisVilla1@gmail.com,2019-10-02 07:25:34.307,34133ASQ,74,I,2019-11-12 04:25:34.307
ROSIBELCARPIO1@gmail.com,2019-10-02 07:25:34.308,35426ASQ,75,I,2019-11-13 04:25:34.308
RosibelCarpio1@gmail.com,2019-10-02 07:25:34.309,35426ASQ,76,I,2019-11-14 04:25:34.309
ANDREA_CAROLINAGAITAN1@gmail.com,2019-10-02 07:25:34.310,35529ASQ,77,I,2019-11-15 04:25:34.310
AndreaGaitan1@gmail.com,2019-10-02 07:25:34.311,35529ASQ,78,I,2019-10-01 03:23:34.234
CAROLINA_ANDREAGARCIA1@gmail.com,2019-10-02 07:25:34.312,35661ASQ,79,I,2019-10-02 04:25:34.235
JESICA_JOHANAPEREZ1@gmail.com,2019-10-02 07:25:34.313,36290ASQ,80,I,2019-10-03 04:25:34.236
MARTHA_YANETHOSMA1@gmail.com,2019-10-02 07:25:34.314,36302ASQ,81,I,2019-10-04 04:25:34.237
MarthaOsma1@gmail.com,2019-10-02 07:25:34.315,36302ASQ,82,I,2019-10-05 04:25:34.238
MARIA_CAMILAOSPINA1@gmail.com,2019-10-02 07:25:34.316,36433ASQ,83,I,2019-10-06 04:25:34.239
MariaOspina1@gmail.com,2019-10-02 07:25:34.317,36433ASQ,84,I,2019-10-07 04:25:34.240
ANA_MARIASANCHEZ1@gmail.com,2019-10-02 07:25:34.318,36536ASQ,85,I,2019-10-08 04:25:34.241
DIANAHENAO1@gmail.com,2019-10-02 07:25:34.319,36578ASQ,86,I,2019-10-09 04:25:34.242
JOHN_EIDERCANO1@gmail.com,2019-10-02 07:25:34.320,36631ASQ,87,I,2019-10-10 04:25:34.243
JohnCano1@gmail.com,2019-10-02 07:25:34.321,36631ASQ,88,I,2019-10-11 04:25:34.244
STEFANY_DELCARMEN1@gmail.com,2019-10-02 07:25:34.322,36793ASQ,89,I,2019-10-12 04:25:34.245
JUAN_DAVIDMONTOYA1@gmail.com,2019-10-02 07:25:34.323,36814ASQ,90,I,2019-10-13 04:25:34.246
YENNY_YAMILEARISTIZABAL1@gmail.com,2019-10-02 07:25:34.324,36866ASQ,91,I,2019-10-14 04:25:34.247
CINDY_JULIERTHCATAÑO1@gmail.com,2019-10-02 07:25:34.325,37257ASQ,92,I,2019-10-15 04:25:34.248
SEBASTIAN_ANTONIOMONTOYA1@gmail.com,2019-10-02 07:25:34.326,37368ASQ,93,I,2019-10-16 04:25:34.249
LINA_MARCELAMUNERA1@gmail.com,2019-10-02 07:25:34.327,37395ASQ,94,I,2019-10-17 04:25:34.250
YAMILETHCARVAJAL1@gmail.com,2019-10-02 07:25:34.328,37434ASQ,95,I,2019-10-18 04:25:34.251
LAURA_YESENIAJARAMILLO1@gmail.com,2019-10-02 07:25:34.329,37552ASQ,96,I,2019-10-19 04:25:34.252
LauraJaramillo1@gmail.com,2019-10-02 07:25:34.330,37552ASQ,97,I,2019-10-20 04:25:34.253
ANA_MARIAESTRADA1@gmail.com,2019-10-02 07:25:34.331,37578ASQ,98,I,2019-10-21 04:25:34.254
CAROLINAALVAREZ1@gmail.com,2019-10-02 07:25:34.332,37651ASQ,99,I,2019-10-22 04:25:34.255
JAVIER_ALFONSOALMEIDA1@gmail.com,2019-10-02 07:25:34.333,37702ASQ,100,I,2019-10-23 04:25:34.256
SAHILY_ALEXANDRAOROZCO1@gmail.com,2019-10-02 07:25:34.334,37804ASQ,101,I,2019-10-24 04:25:34.257
MARIA_YURANYCHAVARRIA1@gmail.com,2019-10-02 07:25:34.335,37814ASQ,102,I,2019-10-25 04:25:34.258
MariaChavarria1@gmail.com,2019-10-02 07:25:34.336,37814ASQ,103,I,2019-10-26 04:25:34.259
MONICA_MARIAAGUIRRE1@gmail.com,2019-10-02 07:25:34.337,38282ASQ,104,I,2019-10-27 04:25:34.260
LINA_MARCELAALZATE1@gmail.com,2019-10-02 07:25:34.338,38327ASQ,105,I,2019-10-28 04:25:34.261
CRISTIANAGUDELO1@gmail.com,2019-10-02 07:25:34.339,38379ASQ,106,I,2019-10-29 04:25:34.262
CristianAgudelo1@gmail.com,2019-10-02 07:25:34.340,38379ASQ,107,I,2019-10-30 04:25:34.263
MARIA_JANETHHENAO1@gmail.com,2019-10-02 07:25:34.341,38403ASQ,108,I,2019-10-31 04:25:34.264
ROSSI_PAOLAIBARRA1@gmail.com,2019-10-02 07:25:34.342,38598ASQ,109,I,2019-09-01 04:25:34.265
PAOLA_ANDREASANCHEZ1@gmail.com,2019-10-02 07:25:34.343,38639ASQ,110,I,2019-09-02 04:25:34.266
JUAN_CARLOSCANO1@gmail.com,2019-10-02 07:25:34.344,38700ASQ,111,I,2019-09-03 04:25:34.267
JEIMMY_NATALIAVELA1@gmail.com,2019-10-02 07:25:34.345,38810ASQ,112,I,2019-09-04 04:25:34.268
JULIAN_ALBERTOCUZA1@gmail.com,2019-10-02 07:25:34.346,38846ASQ,113,I,2019-09-05 04:25:34.269
MARITZAVALENCIA1@gmail.com,2019-10-02 07:25:34.347,38929ASQ,114,I,2019-09-06 04:25:34.270
ELSA_MARIAMONSALVE1@gmail.com,2019-10-02 07:25:34.348,38957ASQ,115,I,2019-09-07 04:25:34.271
CAMILO_ESTEBANCORREA1@gmail.com,2019-10-02 07:25:34.349,39007ASQ,116,I,2019-09-08 04:25:34.272
EDWIN_ALBERTOERAZO1@gmail.com,2019-10-02 07:25:34.350,39154ASQ,117,I,2019-09-09 04:25:34.273
CARLOS_MARIODIAZ1@gmail.com,2019-10-02 07:25:34.351,39453ASQ,118,I,2019-09-10 04:25:34.274
JENIFER_ALEXANDRAGOMEZ1@gmail.com,2019-10-02 07:25:34.352,39470ASQ,119,I,2019-09-11 04:25:34.275
RUTHTRUJILLO1@gmail.com,2019-10-02 07:25:34.353,39478ASQ,120,I,2019-09-12 04:25:34.276
VERONICARUIZ1@gmail.com,2019-10-02 07:25:34.354,39561ASQ,121,I,2019-09-13 04:25:34.277
EVELYNGIRALDO1@gmail.com,2019-10-02 07:25:34.355,39563ASQ,122,I,2019-09-14 04:25:34.278
ANGIE_PAOLACHAVARRO1@gmail.com,2019-10-02 07:25:34.356,39567ASQ,123,I,2019-09-15 04:25:34.279
YUDY_MARCELASUAREZ1@gmail.com,2019-10-02 07:25:34.357,39585ASQ,124,I,2019-09-16 04:25:34.280
LISED_CAROLINALOPERA1@gmail.com,2019-10-02 07:25:34.358,39667ASQ,125,I,2019-09-17 04:25:34.281
LisedLopera1@gmail.com,2019-10-02 07:25:34.359,39667ASQ,126,I,2019-09-18 04:25:34.282
KAREN_DANIELAGUERRA1@gmail.com,2019-10-02 07:25:34.360,39836ASQ,127,I,2019-09-19 04:25:34.283
LEYDI_DIANASALAS1@gmail.com,2019-10-02 07:25:34.361,39944ASQ,128,I,2019-09-20 04:25:34.284
CLARA_ISABELTORRE1@gmail.com,2019-10-02 07:25:34.362,40605ASQ,129,I,2019-09-21 04:25:34.285
ClaraTorre1@gmail.com,2019-10-02 07:25:34.363,40605ASQ,130,I,2019-09-22 04:25:34.286
VIVIAN_LISETHMONTERO1@gmail.com,2019-10-02 07:25:34.364,40631ASQ,131,I,2019-09-23 04:25:34.287
VivianMontero1@gmail.com,2019-10-02 07:25:34.365,40631ASQ,132,I,2019-09-24 04:25:34.288
DERLY_VANESSAZAPATA1@gmail.com,2019-10-02 07:25:34.366,40960ASQ,133,I,2019-09-25 04:25:34.289
DerlyZapata1@gmail.com,2019-10-02 07:25:34.367,40960ASQ,134,I,2019-09-26 04:25:34.290
JULIET_STEFANYMUNERA1@gmail.com,2019-10-02 07:25:34.368,41022ASQ,135,I,2019-09-27 04:25:34.291
JulietMunera1@gmail.com,2019-10-02 07:25:34.369,41022ASQ,136,I,2019-09-28 04:25:34.292
IVONNE_ALEXANDRAROMAN1@gmail.com,2019-10-02 07:25:34.370,41641ASQ,137,I,2019-09-29 04:25:34.293
IvonneRoman1@gmail.com,2019-10-02 07:25:34.371,41641ASQ,138,I,2019-09-30 04:25:34.294
MARLYBETHGUTIERREZ1@gmail.com,2019-10-02 07:25:34.372,41682ASQ,139,I,2019-09-30 04:25:34.295
JUAN_MANUELDAZA1@gmail.com,2019-10-02 07:25:34.373,41729ASQ,140,I,2019-11-01  04:25:34.296
JuanDaza1@gmail.com,2019-10-02 07:25:34.374,41729ASQ,141,I,2019-11-02 04:25:34.297
NINI_JOHANNAALFONSO1@gmail.com,2019-10-02 07:25:34.375,42620ASQ,142,I,2019-11-03 04:25:34.298
NiniAlfonso1@gmail.com,2019-10-02 07:25:34.376,42620ASQ,143,I,2019-11-04 04:25:34.299
DAVID_ENRIQUEOLARTE PEREZ1@gmail.com,2019-10-02 07:25:34.377,42899ASQ,144,I,2019-11-05 04:25:34.300
DavidOlarte1@gmail.com,2019-10-02 07:25:34.378,42899ASQ,145,I,2019-11-06 04:25:34.301
JOSE_EDUARDOBUELVAS1@gmail.com,2019-10-02 07:25:34.379,42922ASQ,146,I,2019-11-07 04:25:34.302
ELKIN_ANTONIOBERNAL1@gmail.com,2019-10-02 07:25:34.380,43492ASQ,147,I,2019-11-08 04:25:34.303
ElkinBernal1@gmail.com,2019-10-02 07:25:34.381,43492ASQ,148,I,2019-11-09 04:25:34.304
VANESSAPEREZ1@gmail.com,2019-10-02 07:25:34.382,43867ASQ,149,I,2019-11-10 04:25:34.305
VanessaPerez1@gmail.com,2019-10-02 07:25:34.383,43867ASQ,150,I,2019-11-11 04:25:34.306
MARTHA_CLAIREALFONSO1@gmail.com,2019-10-02 07:25:34.384,44227ASQ,151,I,2019-11-12 04:25:34.307
MarthaAlfonso1@gmail.com,2019-10-02 07:25:34.385,44227ASQ,152,I,2019-11-13 04:25:34.308
YULIAN_ALEXANDERRAMIREZ1@gmail.com,2019-10-02 07:25:34.386,44333ASQ,153,I,2019-11-14 04:25:34.309
YulianRamirez1@gmail.com,2019-10-02 07:25:34.387,44333ASQ,154,I,2019-11-15 04:25:34.310
STEBEN_ELIECERAYALA1@gmail.com,2019-10-02 07:25:34.388,44495ASQ,155,I,2019-10-01 03:23:34.234
SANDRA_MILENAGALINDO1@gmail.com,2019-10-02 07:25:34.389,44504ASQ,156,I,2019-10-02 04:25:34.235
SandraGalindo1@gmail.com,2019-10-02 07:25:34.390,44504ASQ,157,I,2019-10-03 04:25:34.236
JENNIFER_YULIHETMEJIA1@gmail.com,2019-10-02 07:25:34.391,44576ASQ,158,I,2019-10-04 04:25:34.237
JenniferMejia1@gmail.com,2019-10-02 07:25:34.392,44576ASQ,159,I,2019-10-05 04:25:34.238
JAKELINEBETANCUR1@gmail.com,2019-10-02 07:25:34.393,44804ASQ,160,I,2019-10-06 04:25:34.239
JakelineBetancur1@gmail.com,2019-10-02 07:25:34.394,44804ASQ,161,I,2019-10-07 04:25:34.240
LUZ_MERYGIRALDO1@gmail.com,2019-10-02 07:25:34.395,44890ASQ,162,I,2019-10-08 04:25:34.241
LuzGiraldo1@gmail.com,2019-10-02 07:25:34.396,44890ASQ,163,I,2019-10-09 04:25:34.242
ESTEFANIAARREDONDO1@gmail.com,2019-10-02 07:25:34.397,45118ASQ,164,I,2019-10-10 04:25:34.243
EstefaniaArredondo1@gmail.com,2019-10-02 07:25:34.398,45118ASQ,165,I,2019-10-11 04:25:34.244
MARIA_JOSEFRANCO1@gmail.com,2019-10-02 07:25:34.399,45355ASQ,166,I,2019-10-12 04:25:34.245
LINEY_STEFANYESCUDERO1@gmail.com,2019-10-02 07:25:34.400,45467ASQ,167,I,2019-10-13 04:25:34.246
LineyEscudero1@gmail.com,2019-10-02 07:25:34.401,45467ASQ,168,I,2019-10-14 04:25:34.247
HEIDY_MARYORIECHEVERRY1@gmail.com,2019-10-02 07:25:34.402,45654ASQ,169,I,2019-10-15 04:25:34.248
HeidyEcheverry1@gmail.com,2019-10-02 07:25:34.403,45654ASQ,170,I,2019-10-16 04:25:34.249
Diana_CeciliaAbonia1@gmail.com,2019-10-02 07:25:34.404,45944ASQ,171,I,2019-10-17 04:25:34.250
DANIELABERRIO1@gmail.com,2019-10-02 07:25:34.405,46010ASQ,172,I,2019-10-18 04:25:34.251
DanielaBerrio1@gmail.com,2019-10-02 07:25:34.406,46010ASQ,173,I,2019-10-19 04:25:34.252
ALMA_ROSAAGAMEZ1@gmail.com,2019-10-02 07:25:34.407,46744ASQ,174,I,2019-10-20 04:25:34.253
AlmaAgamez1@gmail.com,2019-10-02 07:25:34.408,46744ASQ,175,I,2019-10-21 04:25:34.254
LAURA_VANESSARAMIREZ1@gmail.com,2019-10-02 07:25:34.409,46942ASQ,176,I,2019-10-22 04:25:34.255
LauraRamirez1@gmail.com,2019-10-02 07:25:34.410,46942ASQ,177,I,2019-10-23 04:25:34.256
FRANCY_ALEIDARAMIREZ1@gmail.com,2019-10-02 07:25:34.411,46990ASQ,178,I,2019-10-24 04:25:34.257
FrancyRamirez1@gmail.com,2019-10-02 07:25:34.412,46990ASQ,179,I,2019-10-25 04:25:34.258
DIANA_MARCELAECHEVERRI1@gmail.com,2019-10-02 07:25:34.413,47067ASQ,180,I,2019-10-26 04:25:34.259
DianaEcheverri1@gmail.com,2019-10-02 07:25:34.414,47067ASQ,181,I,2019-10-27 04:25:34.260
ROBINSON_ENRIQUEFRIAS1@gmail.com,2019-10-02 07:25:34.415,47281ASQ,182,I,2019-10-28 04:25:34.261
RobinsonFrias1@gmail.com,2019-10-02 07:25:34.416,47281ASQ,183,I,2019-10-29 04:25:34.262
NATALIA_ANDREALOPERA1@gmail.com,2019-10-02 07:25:34.417,47384ASQ,184,I,2019-10-30 04:25:34.263
NataliaLopera1@gmail.com,2019-10-02 07:25:34.418,47384ASQ,185,I,2019-10-31 04:25:34.264
JULIAN_ANDRESJIMENEZ1@gmail.com,2019-10-02 07:25:34.419,47498ASQ,186,I,2019-09-01 04:25:34.265
JulianJimenez1@gmail.com,2019-10-02 07:25:34.420,47498ASQ,187,I,2019-09-02 04:25:34.266
COLOMBIA_JOANAZAPATA1@gmail.com,2019-10-02 07:25:34.421,47537ASQ,188,I,2019-09-03 04:25:34.267
ColombiaZapata1@gmail.com,2019-10-02 07:25:34.422,47537ASQ,189,I,2019-09-04 04:25:34.268
JOHN_MARIOMUÑOZ1@gmail.com,2019-10-02 07:25:34.423,47738ASQ,190,I,2019-09-05 04:25:34.269
JohnMu?oz1@gmail.com,2019-10-02 07:25:34.424,47738ASQ,191,I,2019-09-06 04:25:34.270
WILLIAM_ALEXANDERMATEUS1@gmail.com,2019-10-02 07:25:34.425,47749ASQ,192,I,2019-09-07 04:25:34.271
JOSE_ENRIQUEBERARDINELLI1@gmail.com,2019-10-02 07:25:34.426,47755ASQ,193,I,2019-09-08 04:25:34.272
ELIZABETHZAPATA1@gmail.com,2019-10-02 07:25:34.427,47758ASQ,194,I,2019-09-09 04:25:34.273
YENY_PAOLANOVOA1@gmail.com,2019-10-02 07:25:34.428,47831ASQ,195,I,2019-09-10 04:25:34.274
YenyNovoa1@gmail.com,2019-10-02 07:25:34.429,47831ASQ,196,I,2019-09-11 04:25:34.275
GIANCARLOLALINDE1@gmail.com,2019-10-02 07:25:34.430,47848ASQ,197,I,2019-09-12 04:25:34.276
GiancarloLalinde1@gmail.com,2019-10-02 07:25:34.431,47848ASQ,198,I,2019-09-13 04:25:34.277
MARIA_VIDALIABEDOYA1@gmail.com,2019-10-02 07:25:34.432,47880ASQ,199,I,2019-09-14 04:25:34.278
MariaBedoya1@gmail.com,2019-10-02 07:25:34.433,47880ASQ,200,I,2019-09-15 04:25:34.279
VIVIANA_DEL_ROSARIOCUEVAS1@gmail.com,2019-10-02 07:25:34.434,47976ASQ,201,I,2019-09-16 04:25:34.280
VivianaCuevas1@gmail.com,2019-10-02 07:25:34.435,47976ASQ,202,I,2019-09-17 04:25:34.281
CARLOS_ANDRESRENDON1@gmail.com,2019-10-02 07:25:34.436,48248ASQ,203,I,2019-09-18 04:25:34.282
MARIA_DEL_PILARGUTIERREZ1@gmail.com,2019-10-02 07:25:34.437,48306ASQ,204,I,2019-09-19 04:25:34.283
JULIETTE_ESPERANZAVASQUEZ1@gmail.com,2019-10-02 07:25:34.438,48506ASQ,205,I,2019-09-20 04:25:34.284
GREISY_YOHANACARRASQUILLA1@gmail.com,2019-10-02 07:25:34.439,48603ASQ,206,I,2019-09-21 04:25:34.285
GreisyCarrasquilla1@gmail.com,2019-10-02 07:25:34.440,48603ASQ,207,I,2019-09-22 04:25:34.286
ELIZABETHROJAS1@gmail.com,2019-10-02 07:25:34.441,48840ASQ,208,I,2019-09-23 04:25:34.287
ElizabethRojas1@gmail.com,2019-10-02 07:25:34.442,48840ASQ,209,I,2019-09-24 04:25:34.288
DENYSSERUGE1@gmail.com,2019-10-02 07:25:34.443,48871ASQ,210,I,2019-09-25 04:25:34.289
DenysseRuge1@gmail.com,2019-10-02 07:25:34.444,48871ASQ,211,I,2019-09-26 04:25:34.290
MARIA_DE_LOS_ANGELESCASTILLO1@gmail.com,2019-10-02 07:25:34.445,48872ASQ,212,I,2019-09-27 04:25:34.291
MariaCastilla1@gmail.com,2019-10-02 07:25:34.446,48872ASQ,213,I,2019-09-28 04:25:34.292
ESTEBANDUQUE1@gmail.com,2019-10-02 07:25:34.447,48878ASQ,214,I,2019-09-29 04:25:34.293
EstebanDuque1@gmail.com,2019-10-02 07:25:34.448,48878ASQ,215,I,2019-09-30 04:25:34.294
YURLEYVELEZ1@gmail.com,2019-10-02 07:25:34.449,48884ASQ,216,I,2019-09-30 04:25:34.295
YurleyVelez1@gmail.com,2019-10-02 07:25:34.450,48884ASQ,217,I,2019-11-01  04:25:34.296
LEANYVILLADA1@gmail.com,2019-10-02 07:25:34.451,48974ASQ,218,I,2019-11-02 04:25:34.297
LeanyVillada1@gmail.com,2019-10-02 07:25:34.452,48974ASQ,219,I,2019-11-03 04:25:34.298
JUAN_MANUELSANCHEZ1@gmail.com,2019-10-02 07:25:34.453,49105ASQ,220,I,2019-11-04 04:25:34.299
JuanSanchez1@gmail.com,2019-10-02 07:25:34.454,49105ASQ,221,I,2019-11-05 04:25:34.300
YESSICA_PAOLACALA1@gmail.com,2019-10-02 07:25:34.455,49190ASQ,222,I,2019-11-06 04:25:34.301
YessicaCala1@gmail.com,2019-10-02 07:25:34.456,49190ASQ,223,I,2019-11-07 04:25:34.302
BIBIANAGALVEZ1@gmail.com,2019-10-02 07:25:34.457,49234ASQ,224,I,2019-11-08 04:25:34.303
BibianaGalvez1@gmail.com,2019-10-02 07:25:34.458,49234ASQ,225,I,2019-11-09 04:25:34.304
